iter	RMSE
0	77038.69674
1	74832.27096
2	72729.49124
3	70781.27623
4	68826.48987
5	66955.9423
6	65262.39335
7	63569.12861
8	61954.74823
9	60551.71056
10	59112.19852
11	57689.08936
12	56381.25311
13	55093.19354
14	53894.67244
15	52749.60307
16	51790.78047
17	50790.84766
18	49831.7919
19	48860.80009
20	47992.36364
21	47193.01718
22	46404.15742
23	45629.85387
24	44906.77679
25	44187.20135
26	43559.86692
27	42944.59219
28	42359.2244
29	41789.26062
30	41284.99651
31	40789.86531
32	40316.4724
33	39857.09734
34	39434.22432
35	39043.39396
36	38648.61195
37	38271.66034
38	37937.98887
39	37557.08498
40	37252.56309
41	36934.09371
42	36636.36111
43	36308.46729
44	35975.00399
45	35709.72738
46	35473.30603
47	35266.43726
48	35016.54088
49	34783.74142
50	34586.456
51	34323.99595
52	34140.75692
53	33929.68178
54	33762.49935
55	33607.29299
56	33485.70739
57	33320.18898
58	33155.72643
59	33040.57047
60	32914.28704
61	32754.48536
62	32627.28899
63	32455.13086
64	32309.34879
65	32154.98085
66	32036.28965
67	31924.9777
68	31792.91355
69	31634.66465
70	31557.03958
71	31440.72356
72	31302.53623
73	31211.7396
74	31122.78477
75	31030.23413
76	30972.60177
77	30899.73067
78	30802.011
79	30713.89572
80	30643.26024
81	30616.7901
82	30567.81906
83	30469.10927
84	30427.6108
85	30318.87067
86	30279.82153
87	30233.04499
88	30141.71543
89	30078.36597
90	30045.2021
91	29961.94949
92	29936.45562
93	29901.53834
94	29848.78431
95	29792.57752
96	29761.37759
97	29748.49384
98	29694.01303
99	29652.01803
100	29630.06322
101	29607.12554
102	29547.01568
103	29525.40082
104	29475.21328
105	29419.63697
106	29398.99323
107	29360.62151
108	29314.39209
109	29275.95896
110	29226.85572
111	29188.02106
112	29167.13998
113	29115.9487
114	29084.50679
115	29035.51922
116	28974.57006
117	28930.10787
118	28911.12934
119	28898.86329
120	28890.40446
121	28845.37844
122	28832.17375
123	28815.85743
124	28800.88332
125	28789.64722
126	28755.90916
127	28750.21391
128	28720.41207
129	28683.91266
130	28679.34438
131	28658.93121
132	28632.58348
133	28624.32009
134	28587.84138
135	28571.0743
136	28569.85769
137	28541.43002
138	28507.88518
139	28487.21463
140	28450.47137
141	28413.50631
142	28365.06153
143	28342.90736
144	28303.57077
145	28275.85614
146	28259.91515
147	28231.39738
148	28222.12886
149	28205.77545
150	28174.8115
151	28157.90448
152	28139.62503
153	28107.28275
154	28080.92143
155	28051.59194
156	28025.41611
157	28018.76687
158	27984.64491
159	27970.05913
160	27944.49278
161	27926.62716
162	27898.23774
163	27873.3857
164	27838.13149
165	27818.80988
166	27802.98944
167	27791.9183
168	27751.93746
169	27733.95639
170	27712.75825
171	27697.69951
172	27686.18604
173	27676.60407
174	27644.54072
175	27631.67289
176	27607.47116
177	27597.72399
178	27558.99701
179	27546.18819
180	27538.76983
181	27530.79564
182	27508.76147
183	27502.46489
184	27466.78333
185	27437.23294
186	27411.22696
187	27390.56601
188	27382.45702
189	27366.24195
190	27324.31152
191	27301.82004
192	27283.48621
193	27247.91001
194	27233.64395
195	27218.63686
196	27216.73165
197	27194.89491
198	27164.0976
199	27134.75884
200	27108.49404
201	27069.60705
202	27049.62235
203	27016.06285
204	27009.65713
205	26979.6631
206	26972.10636
207	26936.86626
208	26918.79158
209	26896.9176
210	26879.04545
211	26853.46839
212	26836.31555
213	26835.72915
214	26822.4319
215	26798.79793
216	26786.60827
217	26769.11186
218	26742.70722
219	26701.97017
220	26680.26704
221	26655.1448
222	26652.66165
223	26638.92978
224	26635.46206
225	26629.47897
226	26598.60106
227	26585.64422
228	26562.92576
229	26548.08689
230	26510.8218
231	26481.48601
232	26454.52153
233	26445.13872
234	26412.53193
235	26393.68728
236	26369.16095
237	26355.68741
238	26348.67993
239	26341.91981
240	26328.85875
241	26305.30608
242	26287.23696
243	26272.51113
244	26251.15356
245	26237.6298
246	26221.97407
247	26210.40217
248	26182.38158
249	26180.7387
250	26164.15242
251	26145.46979
252	26141.61282
253	26127.20939
254	26096.95196
255	26078.08656
256	26064.9852
257	26047.98161
258	26028.53555
259	26000.37369
260	25994.4232
261	25977.17299
262	25955.3569
263	25941.72522
264	25938.0048
265	25922.97656
266	25910.39492
267	25884.68047
268	25865.29007
269	25849.42602
270	25844.20463
271	25833.86807
272	25809.32462
273	25796.46469
274	25769.18131
275	25762.93967
276	25753.90029
277	25739.78873
278	25724.13072
279	25715.18224
280	25714.924
281	25702.02948
282	25690.69113
283	25678.51496
284	25666.18502
285	25650.78977
286	25632.35473
287	25619.44736
288	25599.24036
289	25588.57127
290	25564.63292
291	25548.73894
292	25534.87066
293	25513.38988
294	25505.75897
295	25485.87829
296	25479.1479
297	25450.66963
298	25431.44502
299	25426.20463
300	25415.02965
301	25397.71337
302	25375.16606
303	25366.31466
304	25348.24837
305	25339.34621
306	25330.27412
307	25319.10205
308	25306.67503
309	25306.099
310	25299.39209
311	25288.2615
312	25268.79458
313	25243.80571
314	25235.68988
315	25225.58916
316	25201.38756
317	25195.73074
318	25188.72988
319	25181.79992
320	25166.24787
321	25156.32686
322	25150.58297
323	25138.78918
324	25128.52736
325	25116.34129
326	25109.79116
327	25097.26801
328	25093.33521
329	25087.23839
330	25064.73609
331	25048.35767
332	25029.65775
333	25017.36493
334	25010.58812
335	25004.00934
336	24986.4848
337	24971.2976
338	24963.81264
339	24953.6383
340	24952.85766
341	24930.50745
342	24922.72803
343	24912.11443
344	24899.21011
345	24877.3216
346	24867.80161
347	24867.27075
348	24856.20317
349	24844.0299
350	24834.80651
351	24834.28677
352	24827.62356
353	24807.43388
354	24800.24857
355	24783.40029
356	24770.15379
357	24763.75118
358	24752.85935
359	24745.2007
360	24731.76189
361	24722.97594
362	24706.97436
363	24699.01887
364	24690.03499
365	24670.62972
366	24667.66514
367	24667.34428
368	24657.06272
369	24642.09475
370	24630.33574
371	24626.85792
372	24606.76255
373	24585.68082
374	24578.22857
375	24571.87399
376	24547.69965
377	24530.71687
378	24518.55865
379	24504.79674
380	24497.66124
381	24479.97844
382	24471.2317
383	24459.12064
384	24451.47733
385	24444.75241
386	24423.00727
387	24417.33028
388	24417.06065
389	24397.02767
390	24395.73607
391	24387.69499
392	24386.44042
393	24381.71408
394	24375.35914
395	24363.33317
396	24345.82681
397	24332.69773
398	24326.57772
399	24316.97938
400	24310.11172
401	24300.08009
402	24290.66465
403	24289.46851
404	24280.68627
405	24269.41867
406	24248.01415
407	24237.97551
408	24220.46452
409	24209.41167
410	24203.54737
411	24184.64763
412	24176.30329
413	24170.15395
414	24164.45915
415	24143.7999
416	24138.44992
417	24133.49001
418	24123.34836
419	24098.18006
420	24090.08354
421	24064.60527
422	24051.49781
423	24044.062
424	24037.69114
425	24021.58497
426	24016.33323
427	23998.15644
428	23996.97208
429	23978.35086
430	23977.06574
431	23967.60466
432	23959.23874
433	23949.13323
434	23942.06568
435	23932.46811
436	23924.21614
437	23912.19468
