iter	Passed	Remaining
0	0	795
1	1	714
2	2	686
3	2	670
4	3	655
5	3	644
6	4	633
7	5	627
8	5	623
9	6	618
10	6	613
11	7	609
12	7	605
13	8	602
14	9	600
15	9	599
16	10	597
17	10	596
18	11	594
19	12	592
20	12	590
21	13	588
22	13	587
23	14	587
24	15	586
25	15	585
26	16	583
27	16	582
28	17	584
29	18	583
30	18	582
31	19	581
32	19	580
33	20	579
34	20	578
35	21	577
36	22	576
37	22	575
38	23	575
39	23	575
40	24	574
41	25	574
42	25	573
43	26	572
44	26	571
45	27	571
46	28	570
47	28	569
48	29	569
49	29	568
50	30	567
51	31	566
52	31	565
53	32	565
54	32	565
55	33	564
56	34	563
57	34	562
58	35	562
59	35	561
60	36	560
61	37	559
62	37	558
63	38	557
64	38	556
65	39	555
66	39	555
67	40	554
68	41	553
69	41	552
70	42	552
71	42	551
72	43	550
73	43	549
74	44	549
75	45	548
76	45	547
77	46	546
78	46	545
79	47	545
80	48	545
81	48	540
82	48	540
83	49	539
84	50	539
85	50	539
86	51	538
87	51	538
88	52	537
89	53	536
90	53	536
91	54	535
92	54	535
93	55	535
94	56	534
95	56	533
96	57	533
97	57	529
98	58	529
99	58	528
100	59	528
101	59	527
102	60	527
103	61	526
104	61	525
105	62	525
106	62	525
107	63	524
108	64	524
109	64	523
110	65	522
111	65	522
112	66	521
113	67	520
114	67	520
115	68	519
116	68	518
117	69	518
118	69	517
119	70	515
120	70	514
121	71	513
122	71	512
123	72	511
124	73	511
125	73	510
126	74	509
127	74	507
128	75	506
129	75	506
130	75	503
131	76	503
132	77	503
133	77	502
134	78	502
135	78	501
136	79	499
137	79	498
138	80	497
139	80	497
140	81	496
141	82	496
142	82	495
143	83	494
144	83	494
145	84	493
146	84	493
147	85	492
148	86	491
149	86	491
150	87	490
151	87	490
152	88	489
153	88	488
154	89	488
155	90	487
156	90	487
157	91	486
158	91	486
159	92	486
160	93	485
161	93	485
162	94	484
163	94	484
164	95	483
165	96	482
166	96	482
167	97	481
168	97	481
169	98	480
170	99	480
171	99	479
172	100	479
173	100	478
174	101	478
175	101	477
176	102	476
177	103	476
178	103	475
179	104	474
180	104	474
181	105	473
182	105	473
183	106	472
184	107	472
185	107	471
186	108	471
187	108	470
188	109	470
189	110	469
190	110	469
191	111	468
192	111	467
193	112	467
194	112	466
195	113	465
196	114	465
197	114	464
198	115	463
199	115	463
200	116	462
201	116	461
202	117	461
203	118	460
204	118	459
205	119	459
206	119	458
207	120	458
208	120	457
209	121	457
210	122	456
211	122	456
212	123	455
213	123	454
214	124	453
215	124	453
216	125	452
217	125	451
218	126	451
219	127	450
220	127	450
221	128	449
222	128	449
223	129	448
224	129	446
225	130	446
226	130	445
227	131	444
228	131	444
229	132	443
230	133	443
231	133	442
232	134	441
233	134	441
234	135	440
235	135	440
236	136	439
237	137	439
238	137	438
239	138	438
240	138	437
241	139	436
242	140	436
243	140	435
244	141	435
245	141	434
246	142	434
247	142	433
248	143	432
249	144	432
250	144	431
251	145	431
252	145	430
253	146	429
254	146	429
255	147	428
256	148	428
257	148	427
258	149	427
259	149	426
260	150	426
261	151	425
262	151	424
263	152	424
264	152	423
265	153	423
266	154	422
267	154	422
268	155	421
269	155	421
270	156	420
